#,Development Name,Address,Property Website,Management Company,Public Phone #
72,La Fenetre,705 Northrup Street and Parkmoor Avenue,http://www.caremgt.com/la-fenetre.html,CA Real Estate Management Corp.,(408)Â 295-2066
73,Las Casitas,632 N. Jackson Ave.,http://www.dkdproperties.com/south%20bay.htm,DKD Property Management Company,(408) 251-6850
74,Las Ventanas,1800 Evans Lane,http://www.caremgt.com/las-ventanas.html,CA Real Estate Management Corp.,(408) 265-9300
75,Lexington Apartments,1350 Lexington Dr.,No website,N/A,N/A
76,Lion Villas,2550 S. King Rd.,http://www.lionvillas.com/,Pap Lion Villas LLC,(408) 274-7983
77,Lucretia Gardens,2044 Lucretia Ave.,http://jsco.net/property/lucretia-gardens/,John Stewart Company,(408) 295-8440
78,Market Gateway Housing,535 S.Market St,http://www.marketgatewayapts.com/,EAH Housing Inc.,(877) 298-7852
79,Masson Building Rehabilitation Project,161 West Santa Clara Street,N/A,N/A,N/A
80,Mayfair Court Apartments,65 McCreery Ave,http://mayfair.pwapt.com/,USA Property Management,(408) 457-3976
81,Mayfair Golden Manor,2627 Madden Avenue,No website,Mayfair Golden Manor Inc.,(408) 272-1800
82,Miraido Village Mixed-use Project,566 N. 6th Street,http://www.miraidovillageapartments.com/san-jose-ca-apartments.asp,"Evans Property Management, Inc.",(408) 297-0990
83,Monte Alban,1324 Santee Dr,http://jsco.net/property/monte-alban-apartments/,John Stewart Company,(408) 286-1903
84,Monte Vista Gardens,2601 Nuestra Castillo Court,https://www.jamboreehousing.com/affordable-housing-communities/properties-list/monte-vista-gardens?vwr-type=Partner,Jamboree Housing Corp,(408) 923-3200
85,Monterey Family Apartments,2774 Monterey Road,http://www.globalpremierdevelopment.com/completed_projects.html,Buckingham Property Mgt,(408) 629-5303
86,Monterey Grove,6100 Monterey Rd,http://www.montereygrove.com/,"OP Property Management, LP",(408) 600-3271
87,Moreland Apartments,4375 Payne Avenue,http://www.dkdproperties.com/south%20bay.htm,DKD Property Management Company,(408) 554-9585
88,North Park I-III,75 Rio Robles East,https://www.irvinecompanyapartments.com/communities/north-park,Irvine Management Company,(844) 326-3934
89,North Park Las Palmas- The Redwoods,180 Alicante Drive,https://www.irvinecompanyapartments.com/communities/north-park,Irvine Management Company,(844) 326-3934
90,North Park Sycamores,70 Descanso Drive,https://www.irvinecompanyapartments.com/communities/north-park,Irvine Management Company,(844) 326-3934
91,North Park The Laurels,155 Estancia Drive,https://www.irvinecompanyapartments.com/communities/north-park,Irvine Management Company,(844) 326-3934
92,North Park The Oaks,39 Rio Robles East,https://www.irvinecompanyapartments.com/communities/north-park,Irvine Management Company,(844) 326-3934
93,North Park The Oaks II,25 Rio Robles East,https://www.irvinecompanyapartments.com/communities/north-park,Irvine Management Company,(844) 326-3934
94,North Park The Pines,70 Descanso Drive,https://www.irvinecompanyapartments.com/communities/north-park,Irvine Management Company,(844) 326-3934
95,Oak Tree Village,100 Branham Lane East,http://www.caremgt.com/oak-tree-village.html,CA Real Estate Management Corp.,(408) 224-2517
96,Ohlone Chynoweth Commons,5300 Terner Way,http://www.edenhousing.org/property/ohlone-chynoweth-commons,Eden Housing Property Management,(408) 265-9374
97,Ohlone Court,5225 Terner Way and Winfield Boulevard,http://www.bridgehousing.com/properties/family/santa-clara/san-jose/ohlone,Bridge Property Management Company,(408) 264-5985
98,Orvieto Family Apartments,80 Montecito Vista Drive,http://www.fpiliving.com/san-jose-folsom/orvieto-family-apts-multi-family-apartment-management/,FPI Management Inc.,(408) 224-5609
99,Parkside Glen,810 Hillsdale Avenue and Pearl Avenue,http://www.parksideglen.com/,JRK Investments,(408) 264-8291
100,Parkside Terrace,463 Wooster Ave,No website,"AFFORDABLE HOUSING ACCESS, INC.",(949) 253-3120
101,Parkview Family,360 Meridian Avenue and San Carlos Street,http://www.eahhousing.org/pages/apartmentdetail/20,"EAH Housing, Inc.",(408) 995-0989
102,Paseo Senter I,"1898, 1908 Senter Rd",http://charitieshousing.org/paseo-senter/,Charities Housing Management,(408) 947-9100
103,Paseo Senter II,1896 Senter Rd,http://charitieshousing.org/paseo-senter/,Charities Housing Management,(408) 947-9100
104,Paula Street,801 Paula Street,not available,"FPI Management, Inc.",(408) 287-7844
105,Pinmore Gardens,1706 Branham Lane,http://www.fpiliving.com/san-jose-folsom/pinmore-gardens-multi-family-apartment-management/,FPI Management Inc.,(408) 264-3108
106,Plaza Maria,115 East Reed Street and Third Street,http://www.dbarchitect.com/project_detail/49/Plaza%20Maria.html,Mercy Housing Management Group,(408) 293-5253
107,Poco Way,1900 Poco Way,http://www.fpiliving.com/san-jose-folsom/poco-way-apts-multi-family-apartment-management/,FPI Management Inc.,(408) 923-2099
108,Raintree,1058 S. Winchester,www.raintreesanjose.com,PinnacleAMS,(855) 493-8290
109,Regency Apartments,1315 Eden Ave,No website,N/A,(408) 378-1970
110,Rincon De Los Esteros,1780 Old Oakland Road,http://jsco.net/property/rincon-de-los-esteros/,John Stewart Company,(408) 437-1303
111,Roewill,1059 Roewill Drive,http://www.abodeservices.org/,Abode Services,(408) 941-1850
112,Rosemary Family,66-80 E ROSEMARY ST,http://www.roemcorp.com/projects/1st-and-rosemary-family/,FPI Management Inc.,(408) 606-8098
113,San Jose Apartments,1500 Cunningham Avenue,http://www.dkdproperties.com/south%20bay.htm,DKD Property Management Company,(408) 272-3311
114,San Jose Gardens,4668 Albany Drive,http://www.gkind.com,"G&K Management Company, Inc.",(408) 248-0800
115,Santa Familia,4984 Severance Drive,http://property.midpen-housing.org/PropertySearch,MidPen Property Management Corporation,(408) 448-2946
116,St. Claire Apartments,301 S.First Street,http://www.stclaireapts.com/,Sainte Claire Apartment Homes,(408) 499-2229
117,Stonegate,4401 Renaissance Drive,http://www.winncompanies.com/san-jose/stonegate/,WinnResidential,(408) 922-7255
118,Summer Breeze,200 Lewis Road,http://www.roemcorp.com/projects/summer-breeze/,FPI Management Inc.,(408) 362-9011
119,Sunset Square,2080 Alum Rock Avenue,http://charitieshousing.org/sunset-square-apartments/,Charities Housing Management,(408) 550-8300
120,Taylor Oaks Apartments,2726-2738 Kollmar,http://www.tayloroaksapartments.com/,"EAH, Inc.",(408) 926-3177
121,Terramina Square,410 North White Road,http://www.caremgt.com/terramina-square.html,CA Real Estate Management Corp.,(408) 259-8105
122,The Grove,510 Branham Lane,http://www.communityhousingsv.org/,C.H.D. PMS,(408) 279-7677
123,Third Street Apartments,1010 S. 3rd Street,No website,Buckingham Property Mgt,N/A
124,Thornbridge,5210 Monterey Rd.,www.thornbridgeapartments.com,ConAm Management,(408) 226-6500
125,Tierra Encantada,1918 Alum Rock Avenue,http://www.fpiliving.com/san-jose-folsom/tierra-encantada-multi-family-apartment-management/,"FPI Management, Inc.",(408) 926-8082
126,Town Park Towers,60 North 3rd Street,http://www.ncphs.org/affordable-housing/town-park-towers-san-jose,Northern California Presbyterian Homes & Services,(408) 288-8750
127,Trestles Apartments,1566 Scott St.,http://www.trestles-apts.com/,Fairfield Trestles L.P.,(408) 293-2727
128,Troy Apartments,714 S ALMADEN AVE,http://www.firsthousing.com/contact/rental/,"FPI Management, Inc.",(408) 287-7844
129,Turnleaf,3201 Loma Verde Drive,http://www.turnleaf-apts.com/,Fairfield Residential LLC,(408) 378-9138
130,Valley Palms Apartments,2245 Lanai Ave.,No website,KDF Communities LLC,(408) 251-2746
131,Vendome Apartments/San Pedro Square Apts.,155 W. Santa Clara St.,N/A,N/A,(408) 817-9435
132,Verandas,1868 North Capitol Avenue,http://www.caremgt.com/the-verandas.html,CA Real Estate Management Corp.,(408) 263-8770
133,Villa Monterey,2898 Villa Monterey,No website,VPM Management Inc.,(408) 365-9200
134,Villa Savannah,4511 Renaissance Drive,http://www.winncompanies.com/san-jose/villa-savannah/,WinnResidential,(408) 922-9980
135,Villa Solera,1385 Lucretia Avenue,http://www.caremgt.com/villa-solera.html,CA Real Estate Management Corp.,(408) 975-0581
136,Villa Torino,29 West Julian Street,http://www.villatorinoapts.com/,Woodmont,(408) 294-3000
137,Villa Torre I,955 S 6th St,http://www.caremgt.com/villa-torre.html,CA Real Estate Management Corp.,(408) 292-4600
138,Villa Torre II,955 S 6th St,http://www.caremgt.com/villa-torre.html,CA Real Estate Management Corp.,(408) 292-4600Â
139,Village @ Museum Park,465 W San Carlos St,http://www.essexapartmenthomes.com/california/san-francisco-bay-area/san-jose/museum-park,Essex,(866) 547-5813
140,Vintage Tower,235 East Santa Clara St,http://www.vintagetower.freeservers.com/,AMC LLC,(408) 297-4705
141,Vio,5550 Cottle Road,http://liveatvio.com,Alliance Residential Company,(844) 517-8990
142,Vivente II,5347 Dent Avenue,http://property.midpen-housing.org/PropertySearch,MidPen Property Management Corporation,(408) 448-2946
143,Waterford Place,1700 N 1st Street,http://www.essexapartmenthomes.com/apartment/waterford-place-san-jose-ca-4p05i6585075,Essex,(408) 335-0155
144,Willow Creek,925 Willowleaf Dr,http://willowcreeksanjose.com/,Greystar,(877) 959-3369
145,Willow Lake,1331 Lakeshore Circle,http://www.essexapartmenthomes.com/apartment/willow-lake-san-jose-ca-301608561068,Essex,(877) 698-6090
146,Willows Apartments,894 Paula Street,http://www.fpiliving.com/san-jose-folsom/willows-the-multi-family-apartment-management/,FPI Management Inc.,(408) 280-6389
147,YWCA Third Street,375 South 3rd Street,http://www.ywca-sv.org/contact/index.php,Bridge Property Management Company,(408) 295-4011 ext. 200
